Company,cleaned_question
Zydus Lifesciences,What is the last process in beach setting
Zydus Lifesciences,What is the responsibility operator
Zydus Lifesciences,How do you set up a bench
Zydus Lifesciences,What is the C 300 machine
Zydus Lifesciences,How many types of spray guns are used in a Wurster coater
Zydus Lifesciences,What is Alcoa Please explain
Zydus Lifesciences,What is the full name of Alcoa
Zydus Lifesciences,What are the limitations of Ohms law in Electric Circuit Theory
Zydus Lifesciences,Which parameters are used in tablet manufacturing
Zydus Lifesciences,What are the CPP and CQA of tablets
Zydus Lifesciences,What are the differences between exhibit batches and PPQ batches
Zydus Lifesciences,What is the role of stratified sample analysis and content uniformity test
Zydus Lifesciences,What is the role of the disintegration test and what are the criteria for the disintegration test for tablets
Zydus Lifesciences,What is LOD
Zydus Lifesciences,What is Cleaning Validation
Zydus Lifesciences,What is film coating
Zydus Lifesciences,What is the role of the product manager
Zydus Lifesciences,What was your salary in your previous company
Zydus Lifesciences,What is the definition of pH
Zydus Lifesciences,How do you ensure environmental factors dont affect calibration results
Zydus Lifesciences,What is calibration
Zydus Lifesciences,What is GMP
Zydus Lifesciences,What is the full form of RMG
Zydus Lifesciences,What are the working principles of a multimill
Zydus Lifesciences,What is the chemical formula of water
Zydus Lifesciences,What is your ideal office environment
Zydus Lifesciences,What is a unit process
Zydus Lifesciences,What is the term for continuous operation work
Zydus Lifesciences,Are you familiar with CIP systems
Zydus Lifesciences,Explain megalithic gauge failure
Zydus Lifesciences,Explain the deviation process and its documentation
Zydus Lifesciences,What is UV and what are its principles
Zydus Lifesciences,What is a process area
Zydus Lifesciences,What is the correct location
Zydus Lifesciences,What concrete code should we use
Zydus Lifesciences,What is the full form of TMT bar
Zydus Lifesciences,What is the use of a spirit level
Zydus Lifesciences,How do you calculate the weight of a structural steel bar
Zydus Lifesciences,What is your current CTC and what are your salary expectations
Zydus Lifesciences,What is a tablet
Zydus Lifesciences,What is a tablet disintegration test for undissolved tablets
Zydus Lifesciences,How do you ensure zero errors in your work
Zydus Lifesciences,What name is on your certificate
Zydus Lifesciences,How do you handle interventions during aseptic filling
Zydus Lifesciences,How do you handle an audit
Zydus Lifesciences,What is Bernoullis equation
Zydus Lifesciences,What is a packed bed column
Zydus Lifesciences,On which principles does a centrifugal pump work
Zydus Lifesciences,What are the types of pumps and valves and what are their uses
Zydus Lifesciences,What is distillation and what are its types
Zydus Lifesciences,Tell me about your CV
Zydus Lifesciences,What do you do if a centrifuge bag is cut
Zydus Lifesciences,Why is preventive maintenance important
Zydus Lifesciences,Why is performance verification necessary
Zydus Lifesciences,Why is preventive maintenance necessary
Zydus Lifesciences,How is relative humidity controlled
Zydus Lifesciences,How does temperature control work
Zydus Lifesciences,How to qualify a visual inspector
Zydus Lifesciences,What is pH slope
Zydus Lifesciences,Explain critical process verification
Zydus Lifesciences,How will you generate sales if the customer is not convinced
Zydus Lifesciences,Invoicing in sap
Zydus Lifesciences,What is density
Zydus Lifesciences,What is a catalyst
Zydus Lifesciences,What procedures do you follow before starting the Wurster granulation process
Zydus Lifesciences,How do you check the functionality of a fire damper
Zydus Lifesciences,What is HVAC
Zydus Lifesciences,What are the core values
Zydus Lifesciences,What are disintegration and dissolution and what is the difference between them
Zydus Lifesciences,How would you handle documents in the Doccell
Zydus Lifesciences,How do you manage different QC sections for timely delivery
Zydus Lifesciences,What does GMP mean
Zydus Lifesciences,Which parameters use in Dry Granulation And what is the reason behind to do dry Granulation
Hindustan Unilever ,How can we improve the sales of our product in the market
Hindustan Unilever ,How do you reach your target market
Hindustan Unilever ,How can market potential be increased
Hindustan Unilever ,What is an acid
Hindustan Unilever ,What are primary and secondary research methods
Hindustan Unilever ,What are markup and markdown
Hindustan Unilever ,How do you handle customer objections or complaints during field visits
Hindustan Unilever ,How do you prioritize tasks when managing multiple projects or responsibilities
Hindustan Unilever ,How do you ensure product visibility and availability at retail outlets
Hindustan Unilever ,What is the salary for this position
Hindustan Unilever ,What is the difference between drilling and boring
Hindustan Unilever ,How does a cooling tower work
Hindustan Unilever ,How can changeover time be reduced
Hindustan Unilever ,What is the refrigeration cycle
Hindustan Unilever ,How do you assess the width and depth of new products
Hindustan Unilever ,What are two effective strategies to increase sales
Hindustan Unilever ,What are the two key sales rules that are considered important
Hindustan Unilever ,What strategies can be implemented to enhance trade relationships
Hindustan Unilever ,What methods can be employed to enhance coverage
Hindustan Unilever ,What is the importance of competition in business
Hindustan Unilever ,What are the methods to establish a preferred supplier
Hindustan Unilever ,What are the key components of effective distribution
Hindustan Unilever ,How can one increase product assortment
Hindustan Unilever ,How would you sell our product
Hindustan Unilever ,How do you approach a new customer
Hindustan Unilever ,If a customer is very frustrated how will you react
Hindustan Unilever ,What do you know about labor laws
Hindustan Unilever ,I have solved mechanical problems in machines
Hindustan Unilever ,What safety protocols do you follow
Hindustan Unilever ,What is TBM maintenance
Hindustan Unilever ,What is preventative maintenance
Hindustan Unilever ,What is scheduled maintenance
Hindustan Unilever ,What is the full meaning of CLITE
Hindustan Unilever ,What is TPM
Hindustan Unilever ,What skills do you have
Hindustan Unilever ,Tell me about the SHE Pillar of TPM
Hindustan Unilever ,What is your action plan if you receive a complaint from a customer about a product
Hindustan Unilever ,How do you manage B2B relationships
Hindustan Unilever ,What is the difference between urban and rural distribution
Hindustan Unilever ,Explain the derivation of Logistic Regression
Hindustan Unilever ,How does an electric fan work
Hindustan Unilever ,What are the main grades of steel
Hindustan Unilever ,Are you aware of business integrity principles
Hindustan Unilever ,What numeric distribution will you target for the launch
Hindustan Unilever ,How will you achieve a weighted distribution of 25
Hindustan Unilever ,How many stores will you launch the product in
Hindustan Unilever ,How will you ensure sellout from the stores
Hindustan Unilever ,Describe the plant inventory process including when and how you perform it
Hindustan Unilever ,Explain the process of installing a bearing inside a shaft
Hindustan Unilever ,What technologies have you used
Hindustan Unilever ,How can it be beneficial
Hindustan Unilever ,Tell me about your product knowledge
Hindustan Unilever ,Describe an instance when you had to prioritize something else over work
Hindustan Unilever ,What do you know about sensors
Hindustan Unilever ,How would you supervise company security and manage security personnel
Hindustan Unilever ,What is the role of a Territory Sales Officer TSO
Hindustan Unilever ,How can production be increased
Hindustan Unilever ,Why is safety important on the job
Hindustan Unilever ,What is the RPM of the gear motor
Hindustan Unilever ,What is breakdown maintenance
Hindustan Unilever ,What is preventive maintenance
Hindustan Unilever ,How do you develop a scheme after a merger
Hindustan Unilever ,How do you calculate margins
Hindustan Unilever ,What are the width and depth of distribution
Hindustan Unilever ,What is ROI and how is it calculated
Hindustan Unilever ,What is safety
Hindustan Unilever ,How do you separate two mixed solvents based on their boiling points
Hindustan Unilever ,How will you increase the ROI of a distributor
Hindustan Unilever ,How will you increase sales
Hindustan Unilever ,How is ROI calculated in FMCG
Hindustan Unilever ,Sell me this product
Hindustan Unilever ,How do you ensure customer satisfaction when selling a product
Hindustan Unilever ,What is the process for analyzing a sales territory
Hindustan Unilever ,What is your approach to customers who are dispensing versus those in clinical practice
Hindustan Unilever ,Explain ROI calculation in detail with an example
Hindustan Unilever ,What are the company rules
Hindustan Unilever ,What costs are involved in setting up a factory
Hindustan Unilever ,What is the difference between sales and marketing
Hindustan Unilever ,How would you analyze a proposal for a loan
Hindustan Unilever ,What is the supply chain of Flipkart
Hindustan Unilever ,What is the MapReduce framework
Hindustan Unilever ,What are the various KPIs to measure different domains like sales and supply chain
Hindustan Unilever ,How do you calculate ROI and handle market and distribution
Hindustan Unilever ,How To Calculate Rotation
Hindustan Unilever ,Have you worked anywhere before If so where did you work and why do you want to leave that job to join here
Hindustan Unilever ,If a product has a certain MRP and margin how do you calculate its trade rate and net rate
Hindustan Unilever ,How do you calculate percentage
Hindustan Unilever ,How can you use technical problemsolving skills in sales
Hindustan Unilever ,How many types of warehouse layouts are there
Hindustan Unilever ,How do you develop business
Hindustan Unilever ,How do you manage operations with a lower budget
Hindustan Unilever ,How would you develop the rural market
Hindustan Unilever ,How would you handle a distributor with limited infrastructure but high market potential
Hindustan Unilever ,Your products performance has declined due to a competitors product How would you handle this situation and bring back the products original trend
Hindustan Unilever ,If your distributor has a low ROI what factors would you consider and investigate
Hindustan Unilever ,How can your skills add value to the function
Hindustan Unilever ,Tell me about your role
Hindustan Unilever ,What is FMCG
Hindustan Unilever ,What is the difference between FG Finished Goods and PM Packaging Material
Hindustan Unilever ,What is an Eway bill
Equitas Small Finance Bank,What is a CIBIL report Please explain
Equitas Small Finance Bank,What methods are you using to generate leads
Equitas Small Finance Bank,What tools have you encountered and which ones have you implemented to date
Equitas Small Finance Bank,What are the criteria for approving loans for customers with low credit scores
Equitas Small Finance Bank,How do you source business
Equitas Small Finance Bank,Describe yourself
Equitas Small Finance Bank,How will you approach your work
Equitas Small Finance Bank,How do you complete your work and given tasks
Equitas Small Finance Bank,What do you hope to accomplish in this organization
Equitas Small Finance Bank,Tell me about your current experience
Equitas Small Finance Bank,What is your vision
Equitas Small Finance Bank,What was your previous compensation package
Equitas Small Finance Bank,What are your qualifications
Equitas Small Finance Bank,Do you have any relevant experience
Equitas Small Finance Bank,What are your job preferences
Equitas Small Finance Bank,What is your qualification
Equitas Small Finance Bank,Are you planning to stay with Equita for a long time
Equitas Small Finance Bank,Why did you choose this job
Equitas Small Finance Bank,Where is your hometown
Equitas Small Finance Bank,What is your name
Equitas Small Finance Bank,Tell me about your previous experience
Equitas Small Finance Bank,What is sales
Equitas Small Finance Bank,Tell me about yourself and your career
Equitas Small Finance Bank,How is your work
Equitas Small Finance Bank,Tell me about yourself and your career
Equitas Small Finance Bank,Tell me about your experience in sales
Equitas Small Finance Bank,What was your appraisal like last year
Equitas Small Finance Bank,Where are you currently working
Equitas Small Finance Bank,What is your role
Equitas Small Finance Bank,What challenges did you face in your previous job
Equitas Small Finance Bank,How do you source your accounts
Equitas Small Finance Bank,How many customers do you have
Equitas Small Finance Bank,What is a counterfeit note
Equitas Small Finance Bank,What is a soiled note
Equitas Small Finance Bank,What are FD and RD
Equitas Small Finance Bank,What is li and term plan
Equitas Small Finance Bank,What is the role of a Customer Service Officer
Equitas Small Finance Bank,What are RTGS and NEFT
Equitas Small Finance Bank,How do you approach sales
Equitas Small Finance Bank,Share your previous experience in terms of target achievement
Equitas Small Finance Bank,Tell me about a time you achieved a goal at your last company
Equitas Small Finance Bank,Whats your experience
Equitas Small Finance Bank,What is the significance of the relationship between banking institutions and customers
Equitas Small Finance Bank,Why do you want to work with Equitas
Equitas Small Finance Bank,What is meant by an elite account
Equitas Small Finance Bank,How do you approach a client
Equitas Small Finance Bank,Can you achieve the CASA values targets
Equitas Small Finance Bank,How many customers will you meet per week
Equitas Small Finance Bank,Do you have knowledge about sales
Equitas Small Finance Bank,What is your experience in the banking sector
Equitas Small Finance Bank,How do you perceive locker access in a MOP jointly scenario
Equitas Small Finance Bank,What does the knowledge test involve in relation to operations
Equitas Small Finance Bank,How do you manage difficult situations
Equitas Small Finance Bank,How do you handle clients
Equitas Small Finance Bank,How would you respond to a customer
Equitas Small Finance Bank,How would you approach a client
Equitas Small Finance Bank,Do you have excellent communication skills
Equitas Small Finance Bank,Are you able to work at this bank
Equitas Small Finance Bank,How do you approach business development
Equitas Small Finance Bank,Are you able to work in this bank
Equitas Small Finance Bank,What was your greatest achievement at your last company
Equitas Small Finance Bank,Are you able to work with a bank
Equitas Small Finance Bank,Do you have any experience working in a bank
Equitas Small Finance Bank,Why are you looking for a job change
Equitas Small Finance Bank,Why did you choose to apply to this bank
Equitas Small Finance Bank,What is your experience
Equitas Small Finance Bank,What is the residual age
Equitas Small Finance Bank,Do you know our products
Equitas Small Finance Bank,What is the difference between Market Value and Guideline Value
Equitas Small Finance Bank,Tell me about Equitas Bank
Equitas Small Finance Bank,Can you work patiently under pressure
Equitas Small Finance Bank,What will you do for our bank
Equitas Small Finance Bank,What are your growth opportunities
Equitas Small Finance Bank,What is banking
Equitas Small Finance Bank,Why did you switch from your previous job
Equitas Small Finance Bank,What is skip tracing
Equitas Small Finance Bank,What is your experience with your previous company
Equitas Small Finance Bank,Do you know about credit work
Equitas Small Finance Bank,Tell me about your education and experience
Equitas Small Finance Bank,What is your knowledge of the product
Equitas Small Finance Bank,What are the company policies regarding employees
Equitas Small Finance Bank,What documents are required for obtaining an opinion
Equitas Small Finance Bank,What experience do you have in a related field
Equitas Small Finance Bank,What aspects of a property will you assess
Equitas Small Finance Bank,What are the different types of deeds
Equitas Small Finance Bank,What is the validity of a will deed
Equitas Small Finance Bank,What are the different types of recovery processes
Equitas Small Finance Bank,Where can we obtain possession orders
Equitas Small Finance Bank,Are you comfortable working under pressure
Equitas Small Finance Bank,Are you willing to travel
Equitas Small Finance Bank,What is the total number of employees you have handled
Equitas Small Finance Bank,How do you generate leads in the field
Equitas Small Finance Bank,What is vehicle finance
Equitas Small Finance Bank,What is meant by credit underwriting
Equitas Small Finance Bank,Are you comfortable with the Assistant Branch Manager designation
Equitas Small Finance Bank,What reports have you generated
Equitas Small Finance Bank,How do you prepare a legal report
Equitas Small Finance Bank,Do you resolve customer queries
Equitas Small Finance Bank,What are the different types of commercial banks
Equitas Small Finance Bank,Can you outline the main differences between a commercial bank and an investment bank
Sun Pharmaceutical Industries,What is a fire extinguisher
Sun Pharmaceutical Industries,What is the Standard Operating Procedure SOP for Dispatch
Sun Pharmaceutical Industries,What are the CU and dissolution limits according to the United States Pharmacopeia USP
Sun Pharmaceutical Industries,What is the rationale behind providing training to employees who are already highly skilled and capable of handling their roles
Sun Pharmaceutical Industries,What strategies do you propose to enhance overall manpower productivity
Sun Pharmaceutical Industries,How can you manage multiple lab experiments simultaneously
Sun Pharmaceutical Industries,What is the relationship between Laplaces law and its application in a quality control laboratory
Sun Pharmaceutical Industries,What is the dark reaction
Sun Pharmaceutical Industries,Tell me about your 8 years of work experience
Sun Pharmaceutical Industries,How should we proceed with the next batch
Sun Pharmaceutical Industries,Why do you want to join Sun
Sun Pharmaceutical Industries,What are Sun values
Sun Pharmaceutical Industries,What are the problems faced during the manufacturing process
Sun Pharmaceutical Industries,What are the qualification procedures for equipment
Sun Pharmaceutical Industries,Explain Alcoa
Sun Pharmaceutical Industries,What are the definitions and differences between molarity molality and normality
Sun Pharmaceutical Industries,What is anaerobic
Sun Pharmaceutical Industries,What is aerobic
Sun Pharmaceutical Industries,How can you measure OEE
Sun Pharmaceutical Industries,What is your expected CTC
Sun Pharmaceutical Industries,How do you manage manpower and cost reduction
Sun Pharmaceutical Industries,What is the room temperature
Sun Pharmaceutical Industries,What are your life goals
Sun Pharmaceutical Industries,How many brands are there
Sun Pharmaceutical Industries,How is the plant layout
Sun Pharmaceutical Industries,What is the Linux kernel
Sun Pharmaceutical Industries,What is the definition of normality
Sun Pharmaceutical Industries,What are the three pillars of SCRUM
Sun Pharmaceutical Industries,What is management
Sun Pharmaceutical Industries,What is a balance sheet
Sun Pharmaceutical Industries,Describe the different types of accounts
Sun Pharmaceutical Industries,How do you develop a method using HPLC
Sun Pharmaceutical Industries,What is the role of employees
Sun Pharmaceutical Industries,What is the process for selecting the best employee
Sun Pharmaceutical Industries,How would you implement this role in the present company
Sun Pharmaceutical Industries,What is ETP STP MEE RO process
Sun Pharmaceutical Industries,What is the main purpose of QA
Sun Pharmaceutical Industries,What is the API
Sun Pharmaceutical Industries,Which technical subject do you have the most knowledge of
Sun Pharmaceutical Industries,What types of products do you make
Sun Pharmaceutical Industries,What are the products that your company makes
Sun Pharmaceutical Industries,What is the role of a data analyst
Sun Pharmaceutical Industries,What are the basic and routine roles of an Environment Engineer in Sun Pharmaceutical Industries
Sun Pharmaceutical Industries,What is the working flow of a multiple effect evaporator plant
Sun Pharmaceutical Industries,Are there any advanced systems available
Sun Pharmaceutical Industries,How can we improve the quality of our product
Sun Pharmaceutical Industries,What is Quality Control
Sun Pharmaceutical Industries,How do you control quality
Sun Pharmaceutical Industries,What does a quality check officer do
Sun Pharmaceutical Industries,What is the role of a sales manager
Sun Pharmaceutical Industries,If you achieve a milestone of 1 crore would you prefer to continue as an employee in our company or switch companies
Sun Pharmaceutical Industries,Are you able to handle the workload
Sun Pharmaceutical Industries,Are you excited or interested in this role
Sun Pharmaceutical Industries,How do you calculate the number of trays in a distillation column
Sun Pharmaceutical Industries,What is distillation and what are its types
Sun Pharmaceutical Industries,How is the Vacuum pump operated
Sun Pharmaceutical Industries,What do you know about Scaleup
Sun Pharmaceutical Industries,What is meant by affinity law
Sun Pharmaceutical Industries,What is your required CTC
Sun Pharmaceutical Industries,Define tooling types and their purposes
Sun Pharmaceutical Industries,How do you handle compliance documents and responses
Sun Pharmaceutical Industries,What is a friability test
Sun Pharmaceutical Industries,How do you manage route labels
Sun Pharmaceutical Industries,What is the boiling point of tungsten
Sun Pharmaceutical Industries,What bases are commonly used in the laboratory
Sun Pharmaceutical Industries,What is organic chemistry
Sun Pharmaceutical Industries,What is the pH range for drinking water
Sun Pharmaceutical Industries,What detectors are used in gas chromatography
Sun Pharmaceutical Industries,What do you understand by quality assurance
Sun Pharmaceutical Industries,What is the difference between quality control and quality assurance
Sun Pharmaceutical Industries,What are the different types of validation
Sun Pharmaceutical Industries,What is peak purity in HPLC and what is its significance
Sun Pharmaceutical Industries,What are the basic principles of electricity
Sun Pharmaceutical Industries,How do you brief Gado
Sun Pharmaceutical Industries,How is process validation done
Sun Pharmaceutical Industries,How does HPLC work
Sun Pharmaceutical Industries,How is validation done
Sun Pharmaceutical Industries,How is CSV parsing done
Sun Pharmaceutical Industries,How do you validate cleaning processes
Sun Pharmaceutical Industries,How do you handle customer complaints
Sun Pharmaceutical Industries,If there is a high attrition rate in your function what techniques would you consider to control it
Sun Pharmaceutical Industries,How do you apply to the company
Sun Pharmaceutical Industries,What is the basic difference between UVVis and IR spectroscopy
Sun Pharmaceutical Industries,What is the difference between DR and DT
Sun Pharmaceutical Industries,How many types of columns are there
Sun Pharmaceutical Industries,What is HPLC
Sun Pharmaceutical Industries,When OutOfSpecification OOS results are obtained how are they processed further
Sun Pharmaceutical Industries,What options do you consider if you do not get a good response
Sun Pharmaceutical Industries,Is cumulative effort mandatory
Sun Pharmaceutical Industries,Describe your experience with audits and the response preparation process
Sun Pharmaceutical Industries,How can equilibrium time be achieved if it exceeds 30 seconds What parameters should be checked and improved
Sun Pharmaceutical Industries,How do you sterilize thermally stable products
Sun Pharmaceutical Industries,What is D value
Sun Pharmaceutical Industries,What is peak purity and how is it calculated in HPLC
Sun Pharmaceutical Industries,What are the system suitability criteria for RS and Assay methods
Sun Pharmaceutical Industries,How would you perform specificity testing
Sun Pharmaceutical Industries,What is discrimination media in dissolution
Sun Pharmaceutical Industries,What are the different types of columns in HPLC and how do you select a column
Sun Pharmaceutical Industries,What is the principle of a RI detector
Sun Pharmaceutical Industries,What tests are involved in the calibration of HPLC and why is caffeine used
ITC,How does a stardelta starter work
ITC,What is the definition of a machine
ITC,What is a lathe machine
ITC,What is a shaper machine
ITC,What is your daily routine
ITC,Why is the fruits and vegetable industry experiencing losses
ITC,How do you approach working at ITC
ITC,What is your reason for leaving your previous company
ITC,Can you provide a brief overview of your biodata
ITC,How do you handle issues in the market
ITC,How do you approach working at ITC
ITC,What is your reason for leaving your previous company
ITC,Can you provide a brief overview of your biodata
ITC,How do you handle issues in the market
ITC,What is a stepdown transformer
ITC,How many types of motors are used in industrial settings
ITC,Can you describe the boilers you have handled
ITC,Explain TPM Total Productive Maintenance
ITC,If a new competitor has emerged in the market and is performing well how would you address the situation
ITC,Relate any marketing concept to your actual ontheground job experience
ITC,What is DevOps
ITC,What are the roles in DevOps
ITC,What are the responsibilities of a DevOps engineer
ITC,Based on my profile what type of work do you think I am suited for
ITC,What is the process of interviewing
ITC,What are the different types of interviewing techniques
ITC,What was the subject matter and details of your patent
ITC,What is the difference between varchar and varchar2
ITC,Explain composite indexes
ITC,How do the 4 Ps of marketing relate to one of our products
ITC,What are the four Ps of marketing
ITC,What can you tell me about ITC
ITC,How do you handle missing data in a dataset
ITC,What is a Random Forest Classifier
ITC,Can you describe the features of Java 8
ITC,How will you resolve disputes
ITC,What is a returnable gate pass
ITC,What would you do if there was a fire
ITC,How do you plan maintenance
ITC,How do you find the root cause of a problem
ITC,What is software testing
ITC,How do you find duplicate elements in a list
ITC,Explain different sorting algorithms
ITC,What benefits can I expect from the company
ITC,Why are pipes typically circular
ITC,Which cross section is suitable for a shaft on which a hoist is mounted
ITC,What is entropy
ITC,Do you know about SAP
ITC,What is your expected CTC for this role
ITC,What is the power rating of the generators used
ITC,What is Market Share
ITC,How do you deal with challenges
ITC,What is the best sorting algorithm and why
ITC,What is Heap Sort
ITC,What are the differences between a petrol engine and a diesel engine
ITC,What is the golden rule
ITC,What is the repo rate
ITC,What is depreciation
ITC,Please provide a basic introduction about yourself
ITC,What is the difference between a list and a set
ITC,What are your CTC expectations
ITC,What is your current CTC
ITC,What is the difference between a twostroke and a fourstroke engine
ITC,How do you handle pressure
ITC,What are the features of ES6
ITC,Sell me this pen
ITC,How does a transmission line work
ITC,What do you mean by a Structure
ITC,Why are you leaving TCS
ITC,Can you elaborate on the details in your resume
ITC,What clients have you handled
ITC,What kind of pump would you select for an application
ITC,What is the mean of kitchen
ITC,Explain how to calculate ROI
ITC,How do you handle customer interactions effectively
ITC,How would you launch a new product in the market
ITC,What are the benefits of ITC
ITC,Why is silica gel used in transformers
ITC,What is the working principle of a transformer
ITC,Why is the motor making noise
ITC,What kind of cables are used in power transmission
ITC,What are the main types of electrical current
ITC,How many types of maintenance are there and what are the differences between them
ITC,What is your ideal approach to problemsolving
ITC,Which is the better deal buy one get two free or buy two get four free
ITC,What is your preferred work location
ITC,How is societal marketing relevant to consumers
ITC,How do you feel about ITC creating value on one hand and selling cigarettes on the other
ITC,Guesstimate Number of premium shampoos sold in India
ITC,What do you know about sales
ITC,If you can purchase one item at a 12 discount or buy 8 items and get 1 free which option would you prefer
ITC,How can sales be increased
ITC,How does onetoone learning in accounting empower IT
ITC,Tell me about your technical skills
ITC,How have you controlled defects and managed defect percentages
ITC,What does MM stand for
ITC,What does SAP stand for
ITC,Do you currently have any job offers
ITC,Why is Python so popular
ITC,What are primary and secondary sales
KPMG India,What are the attributes of user access testing
KPMG India,How would you find the top 3 accounts with the highest transaction volume month on month
KPMG India,Given a sorted array nums remove the duplicates inplace such that each element appears only once and returns the new length Do not allocate extra space for another array you must do this by modifying th read more
KPMG India,Given a string find the length of the longest substring without repeating characters
KPMG India,Explain list comprehension
KPMG India,Tell us about Gamma Testing
KPMG India,What is SDET
KPMG India,Write a program to reverse a string
KPMG India,Write a program to determine if two strings are anagrams of each other
KPMG India,How would you manage a customer with no prior system experience in adapting to the Salesforce platform
KPMG India,How would you manage a customer with no prior system experience in adapting to the Salesforce platform
KPMG India,What is the process of using Path in Salesforce
KPMG India,What is your purpose for joining
KPMG India,What does BRI stand for
KPMG India,What is the cash flow statement
KPMG India,What is the difference between a debenture and a bond
KPMG India,What is a ledger
KPMG India,What is TreeMap and can we insert null values into it
KPMG India,What happens when you override static methods
KPMG India,What is LinkedHashMap
KPMG India,Given an array of integers push all zeroes to the end of the array while maintaining the original order The time complexity should be On and the space complexity should be O1
KPMG India,What is NumPy
KPMG India,What is the P2P ProcuretoPay cycle
KPMG India,What is the stepbystep procedure for implementing plant aboard functionality
KPMG India,What are the stepbystep procedures involved in the rebate process in 02C and its configuration
KPMG India,What is the most complex scenario you have mapped
KPMG India,How do different types of requirements influence the pricing procedure
KPMG India,Are you comfortable receiving your salary one month after the work period
KPMG India,How many machines are used in the facility line
KPMG India,What are the responsibilities of a supervisor
KPMG India,How many chemicals are used in the facility line
KPMG India,What is the meaning of grooming
KPMG India,What is the RetrievalAugmented Generation RAG architecture and how is it utilized with vector databases
KPMG India,Which Large Language Models LLMs have you utilized in your work
KPMG India,What are the fundamental concepts of security
KPMG India,What is Passport in Laravel
KPMG India,Given a coding problem how would you approach solving it
KPMG India,What contributions have you made to the framework
KPMG India,How do you manage dynamic elements on a webpage
KPMG India,What is the relationship between test coverage and a test matrix
KPMG India,What is the Selenium architecture in relation to C
KPMG India,What are the differences between WebDriver and ChromeDriver
KPMG India,What are locators and what are the different types of XPath
KPMG India,What is a test scenario
KPMG India,What is the structure of a framework Explain
KPMG India,What is the syntax of XPath
KPMG India,Explain feature file linking in relation to the step definition file
KPMG India,What are the concepts of ObjectOriented Programming OOP in relation to your project
KPMG India,Have you ever managed cookies and caches in automation
KPMG India,What are the meanings of Given When and Then in Gherkin language Please explain
KPMG India,How do you handle conflicting situations when working on prioritybased tasks
KPMG India,What information do you include in a POM Project Object Model file
KPMG India,What is the difference between a scenario and a scenario outline
KPMG India,Explain joins and how they are used
KPMG India,What is the process for creating patterns using Python
KPMG India,Can you explain the risk management strategies you have implemented
KPMG India,Are you familiar with CICD pipelines
KPMG India,Do you know any programming languages
KPMG India,Are you familiar with AWS and Azure Cloud services
KPMG India,What are the different types of triggers available in Azure Data Factory
KPMG India,What steps are involved in fetching data from an onpremises Unix server
KPMG India,Explain the KYC process
KPMG India,What are the differences between a list and a tuple
KPMG India,What is Linear Regression
KPMG India,Write a macro to send an email in the following format
KPMG India,What is your proficiency in VLOOKUP and HLOOKUP
KPMG India,Explain your CV
KPMG India,How was your previous organization
KPMG India,What challenges did you encounter during the audit process
KPMG India,Write a program to print a pattern
KPMG India,What is the probability of an event occurring
KPMG India,What do you know about ServiceNow
KPMG India,What is Power Query
KPMG India,Write a program to check if a program is a palindrome
KPMG India,What is a balance sheet
KPMG India,Describe a roaming scenario for billing a customer
KPMG India,Where do we use conditional formatting
KPMG India,How can you support the Plant and Business through your technical knowledge
KPMG India,What is the time complexity of merge sort
KPMG India,What is injection
KPMG India,What do you know about Cloud Computing
KPMG India,What is an intermediary
KPMG India,What optimization techniques have you used
KPMG India,What type of work have you done for Financial Services particularly in ESG
KPMG India,What is your current CTC and salary expectations
KPMG India,What is Withholding tax
KPMG India,How do you perform income allocation using the 704c method
KPMG India,What is the difference between information security and cyber security
KPMG India,How is your career progressing
KPMG India,Explain the usage of parameters and filters
KPMG India,What are the different types of Level of Detail LOD expressions and what are their use cases
KPMG India,Top and Bottom in one sheet
KPMG India,What are the basics of Power BI
KPMG India,What is the difference between Qualifier and Primary in Spring
KPMG India,What is the financial posting after invoices are posted
KPMG India,What is the sales and procurement process
KPMG India,Explain the CIA triad
KPMG India,What is the difference between ESG and CSR
KPMG India,What is your understanding of Audit
KPMG India,Why compliance
Ujjivan Small Finance Bank,Are you a fresher or do you have experience
Ujjivan Small Finance Bank,What are the operations involved in gold loan processing
Ujjivan Small Finance Bank,What can be done to increase the banks customer portfolio
Ujjivan Small Finance Bank,What is the explanation of NEFT and RTGS
Ujjivan Small Finance Bank,What are cash remittances to other banks and what are the associated rules and regulations
Ujjivan Small Finance Bank,What does CTC clearing refer to
Ujjivan Small Finance Bank,What is the explanation of forms 15G and 15H
Ujjivan Small Finance Bank,What are the effective strategies for managing a portfolio
Ujjivan Small Finance Bank,What are effective strategies for managing employees
Ujjivan Small Finance Bank,How can we improve our employees knowledge
Ujjivan Small Finance Bank,What strategies can be implemented to grow our business
Ujjivan Small Finance Bank,What is the concept of thirdparty business
Ujjivan Small Finance Bank,How many customers did you add in one year
Ujjivan Small Finance Bank,What was your last role
Ujjivan Small Finance Bank,When was Ujjivan Small Finance Bank started
Ujjivan Small Finance Bank,Tell me about your professional journey
Ujjivan Small Finance Bank,How would you market our housing loans
Ujjivan Small Finance Bank,Why is staff satisfaction important
Ujjivan Small Finance Bank,What is the average ticket size
Ujjivan Small Finance Bank,How many logins do you get monthly
Ujjivan Small Finance Bank,How many monthly logins are there
Ujjivan Small Finance Bank,What was your CTC at your last company
Ujjivan Small Finance Bank,How can you source business
Ujjivan Small Finance Bank,How would you handle a panicked customer
Ujjivan Small Finance Bank,What is your experience in this field
